id,product_id,name,price,category,currency_type,ingestion_date,last_modified_date
0,1,Prod_HWCBYIXTYM,17.72246266480054,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
1,2,Prod_NZRFVMLYWH,369.6353994944418,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
2,3,Prod_OMPHLJZNSU,26.24394377532335,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
3,4,Prod_UQQFIRAGRU,441.161056072104,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
4,5,Prod_YYIDGYPEHD,145.4222049328942,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
5,6,Prod_UOZYIWFAYY,92.99300488461436,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
6,7,Prod_UEAEXMZDAI,281.6743038310313,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
7,8,Prod_XOVJGEFIJC,402.2684200743971,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
8,9,Prod_CZQYGEQIMV,472.1588998692781,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
9,10,Prod_YQVGCPUEWG,395.7686168642766,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
10,11,Prod_IYWEMHLEMR,409.3191224155506,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
11,12,Prod_QMGPITLWBX,12.479184923018938,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
12,13,Prod_BFPFMJBSFE,67.09814821588125,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
13,14,Prod_OPCLTJCDYB,215.06238978418693,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
14,15,Prod_XYDCSXVHJG,474.8529430516224,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
15,16,Prod_DOFKDYCMVQ,12.287791638658678,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
16,17,Prod_YFTDKIZRRM,243.69526268871093,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
17,18,Prod_ZVIEXMGKYB,29.12566757162202,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
18,19,Prod_FOXCKYLOST,176.85585813222173,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
19,20,Prod_WOWMPKEDCC,122.21468489288158,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
20,21,Prod_BPGAGWCVIE,97.18017646129388,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
21,22,Prod_EFTOMXJZSK,76.94117089327894,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
22,23,Prod_XCWPENGDVY,417.8748063910818,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
23,24,Prod_XPYBZUYJHV,440.86463546478393,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
24,25,Prod_XYOAZZQZPJ,449.4101293588409,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
25,26,Prod_VBZAVXXQSW,273.78385590610696,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
26,27,Prod_OMFAITWTMF,175.28199726778615,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
27,28,Prod_AGLFJTILKD,161.93877043128535,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
28,29,Prod_KPAJQTTKYX,493.6732174190522,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
29,30,Prod_LHJGILAURC,427.61715127454914,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
30,31,Prod_DNMZDUBAZU,31.224313480914045,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
31,32,Prod_IFIPPFQPDQ,215.0286205214153,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
32,33,Prod_THSVBECEFN,177.25311452372782,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
33,34,Prod_VOLCAVCKJI,401.33950170459497,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
34,35,Prod_TJGBHEOQQJ,47.076705012798925,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
35,36,Prod_KBPAKAERJL,191.67177148972377,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
36,37,Prod_TVBPMNCHAG,116.45468299852556,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
37,38,Prod_UJHVHXSPQU,387.3075083721993,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
38,39,Prod_CJFSAQJSZG,47.182340364642826,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
39,40,Prod_SBTCZEVNCJ,270.34837036677766,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
40,41,Prod_JVTCZYDHCR,454.4135940187251,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
41,42,Prod_DCGOXRQOVX,231.70732912833896,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
42,43,Prod_IOBZOJAXRK,362.4355386265121,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
43,44,Prod_VKWGTFQGKW,82.77496181659517,Hogar,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
44,45,Prod_NIEJWDETMP,117.10693933488471,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
45,46,Prod_TJXCYIJUAL,448.854630656575,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
46,47,Prod_HXWTYSFQYD,408.63126882721343,Electronica,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
47,48,Prod_QXZAIYFZUT,308.2935007914618,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
48,49,Prod_ARHXBTGOMR,366.0299528728693,Juguete,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
49,50,Prod_EQFOYWAPPZ,32.76001241492763,Ropa,MXN,2024-02-23 20:28:32,2024-02-23 20:28:32
